ID,Full taxonomic name,Common name,Cultivation group (Rotational information),Sunlight requirements,Temperature class,Nutrient requirements,Preferred pH,Nutritional information,Energy Value per 100g raw Kcal,General Description,Sensitivities,Water Requirements,Plant Requirements,Descriptive Growing Season,Pests and Pathogens,Disease Management,Soil,Optimum Germination Temerature,Days to germination at optimum temperature,Plant growing ideal temperature,Length of gorwing to harvest,Image_product,image_plant
93,"Laurus nobilis","Bay","Miscellaneous","Full sun","Hardy","Low","5.5–6.5","Currently no data available.",0,"The fragrant leaves of this evergreen tree or shrub are used as a seasoning.","Currently no data available.","Low","An attractive and ornamental plant with fragrant leaves, best planted once all danger of frost has passed.","Currently no data available.","Currently no data available.","Currently no data available.","Chalk, Clay, Sand, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","93_1.jpg","93_2.jpg"
94,"Borago officinalis","Borage","Miscellaneous","Full sun","Hardy","Low","5.5–6.5","Currently no data available.",0,"A fast growing annual that produces star shaped blue flowers.  The leaves are used to made a hot water infusion.","Currently no data available.","Medium","An easy to grow annual that will thrive in poor soil.  It requires a sunny spot and regular watering.","Currently no data available.","Currently no data available.","Currently no data available.","Chalk, Clay, Sand, Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","94_1.jpg","94_2.jpg"
95,"Capsicum chinense","Bonnet Pepper","Solanaceae","Full sun","Tender","Medium","7.0-8.5","Currently no data available.",0,"A chili pepper with a very high Scoville heat unit score.","Currently no data available.","Medium","Resistant to high temperatures. They like high temperatures with lots of light, and are easily damaged by cold spells of weather.","Currently no data available.","Currently no data available.","Currently no data available.","Rich Moist soil","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","95_1.jpg","95_2.jpg"
96,"Calendula officinalis","Calendula","Miscellaneous","Full sun/partial shade","Hardy","Low","5.5-7.0","Currently no data available.",0,"Commonly known as a marigold, the bright yellow or orange flowers of this plant have historically been used  for medical and culinary purposes in salads, teas, or oil infusions.","Currently no data available.","Medium","Easy to grow and will reseed themselves.  They do well in poor, well drained soil and require minimal care once established.","Currently no data available.","Currently no data available.","Currently no data available.","Chalk, Loam, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","96_1.jpg","96_2.jpg"
97,"Nepeta cataria","Catnip","Miscellaneous","Full sun","Hardy","Low","6.0-7.5","Currently no data available.",0,"A member of the mint family. Catnip has antibacterial properties and is used to make teas.","Currently no data available.","Low","These seeds are tough, and will need slight damage before they will germinate.  They will grow in partial shade, but grow much better in full sun.  Over fertilising can reduce the potency of their scent and flavour.","Currently no data available.","Currently no data available.","Currently no data available.","Well drained soil","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","97_1.jpg","97_2.jpg"
98,"Chamaemelum nobile","Chamomile (Roman chamomile)","Miscellaneous","Full sun/partial shade","Hardy","Low","5.5-7.5","Currently no data available.",0,"The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.","Currently no data available.","Low","A creeping, ground covering perennial. It grows best in partial shade, and like most herbs, does best when not fertilised or watered too often.","Currently no data available.","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","98_1.jpg","98_2.jpg"
106,"Cymbopogon citratus","Lemon Grass","Miscellaneous","Full sun","Very tender","Low","5.0-8.0","Currently no data available.",0,"A tall perennial grass used in cooking or infusion. The inner soft parts of the stalks can be used either fresh, or dried.","Currently no data available.","High","Can be grown from stalk bought for cooking by placing in water.  It likes a warm sunny spot.","Currently no data available.","Currently no data available.","Currently no data available.","Loam","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","106_1.jpg","106_2.jpg"
109,"Origanum vulgare","Oregano","Lamiaceae","Full sun","Hardy","Low","6.0-7.0","Currently no data available.",0,"A perennial herb grown for it's aromatic flavours of sweet pine and citrus.","Currently no data available.","Low","Requires regular watering, however, be careful of overwatering as the roots can easily rot.","Currently no data available.","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","109_1.jpg","109_2.jpg"
116,"Matricaria recutita","Chamomile (German chamomile)","Miscellaneous","Full sun/partial shade","Hardy","low","5.5-7.5","Currently no data available.",0,"The dried flowers of the chamomile plant contain many terpenoids and flavonoids contributing to the many benefits that it's claimed to help with.","Currently no data available.","Low","This upright annual grows best in partial shade, and like most herbs, does best when it is not fertilised or watered too often.","Currently no data available.","Currently no data available.","Currently no data available.","Loam, Chalk, Sand","Currently no data available.","Currently no data available.","Currently no data available.","Currently no data available.","image 116_1.jpg not yet available","image 116_1.jpg not yet available"
119,"Prunus armeniaca","Apricot","Miscellaneous","Full sun","Hardy","Medium","6.5-8.0","Currently no data available.",0,"A relative of the plum, nectarine and peach. The fruit from these trees range in colour from pale yellow to dark orange.  They have a soft velvety skin, and soft flesh covering a large kernel.","New varieties can be grown in cooler climates, but the blossem must be protected from frost over night.","Medium","In warmer climates trees can be freestanding. In cooler climates they are best grown on a warm, sheltered, south facing wall.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 119_1.jpg not yet available","image 119_1.jpg not yet available"
121,"Ribes nigrum","Blackcurrant","Miscellaneous","Full sun","Very hardy","Medium","6.0-7.0","Currently no data available.",0,"Blackcurrants are woody shrubs that produce fruits high in vitamin C.  They can  be eaten raw, but are normally used for jams, or as an ingredient in both sweet and savoury dishes.  Most blackcurrsts grown commetially are used for making juice.","Currently no data available.","Medium","Fruit is produced on new growth, so old wood or weak shoots should be removed during dormancy.  They are easy to grow, but prefer well drained soil in full sun.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","121_1.jpg","121_2.jpg"
122,"Vaccinium corymbosum","Blueberry","Miscellaneous","Full sun","Hardy","Medium","5.0-6.0","Currently no data available.",0,"Regarded as a super fruit, these ornamental shrubs produce large quantities of fruit once established.  The fruit is sweet and varies in size from 5mm to 16mm.","Currently no data available.","Medium","Requires a soil pH of 5.5 or lower.  These shrubs require an acidic soil, and will not grow well in the wrong type of soil.  They also crop better when planted with another variety.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","122_1.jpg","122_2.jpg"
123,"Prunus avium","Cherry","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"As a member of the genus Prunus, it is a fleshy stoned fruit. Cherries range in colour from a light red to deep purple. The sweet varieties are used fresh, cooked, and for juice, while the smaller sour varieties tend to be used for preserves.","Currently no data available.","Medium","Most varieties are not self fertilising, so you will require 2 or 3 trees.  They will take about 4 years to bear fruit and require deep, well drained soil.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 123_1.jpg not yet available","image 123_1.jpg not yet available"
124,"Vaccinium corymbosum","Cranberry","Miscellaneous","Full sun/partial shade","Hardy","Medium","5.0-6.0","Currently no data available.",0,"These evergreen dwarf shrubs, or trailing vines, have slender wiry stems.  The fruit are larger than the leaves, and are red when ripe.  Used for making juice, sauce and jam due to the acidic taste.  Cranberry sauce is traditionally served with turkey.","Currently no data available.","High","Requires a soil pH of 5.5 or lower to thrive, and prefers to be very moist, boggy soil.  Can take up to 3 years to fruit, but can last for decades.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 124_1.jpg not yet available","image 124_1.jpg not yet available"
126,"Ribes grossularia","Gooseberry","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"An easy to grow soft fruit.  The sometimes spiny, translucent fruits grow on small thorny bushes.  The varieties range in colour from yellow through to black.  Some are quite tart and more suited to cooking and preserving.","Currently no data available.","Medium","Gooseberries thrive in cold winters and warm summers, and can tolerate a shaded space. They prefer a well drained soil containing plenty natural nutrients in the form of well rotted organic matter.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","126_1.jpg","126_2.jpg"
127,"Vitis vinifera","Grape","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"This sweet versatile fruit grows in large clusters on a vine.  They are predominantly grown for eating fresh and making wine.","Currently no data available.","Medium","The vines like deep free draining soil, and plenty summer sunshine for the fruits to ripen.  They require support to grow upwards.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 127_1.jpg not yet available","image 127_1.jpg not yet available"
129,"Humulus lupulus","Hops","Miscellaneous","Full sun","Hardy","High","6.5-8.0","Currently no data available.",0,"Hops are the flowers, or seed cones used to flavour beer.  Hey are ready for harvest when the cones feel papery and leave a yellow powder when touched.  Different varieties taste different, allowing brewers to create particular flavours and aromas.","Currently no data available.","Medium","Although hops are easy to grow, they are day length sensitive and best grown between 35 and 55 degree latitudes.  They require a period of winter chilling. Prune all growth in late autumn to early winter.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","129_1.jpg","129_2.jpg"
130,"Actinidia callosa","Kiwi","Miscellaneous","Full sun","Hardy","Medium","5.5-7.0","Currently no data available.",0,"A deciduous climbing plant that's vigorous growth requires plenty of room.  The fruits have a light brown textured skin, with lime green flesh on the inside. They are high in vitamin C and generally eaten raw.","Currently no data available.","Medium","Young shoots are extremely vulnerable to frost damage and will require protection in the spring.  In mild climates these can be grown in the open, in cooler climates they are best grown on a sheltered west or south facing wall.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 130_1.jpg not yet available","image 130_1.jpg not yet available"
131,"Citrus limon","Lemon","Miscellaneous","Full sun","Tender","Medium","5.5-7.0","Currently no data available.",0,"The lemon is an acidic fruit produced by a small evergreen tree.  The yellow citrus fruits are native to Asia, and are grown predominantly for their juice, and the rind (which the aromatic oils are extracted from).","Currently no data available.","Medium","All citrus trees require a mild climate and plenty of sun.  At temperatures below13°C they will go into dormancy.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 131_1.jpg not yet available","image 131_1.jpg not yet available"
132,"Citrus aurantiifolia","Lime","Miscellaneous","Full sun","Tender","Medium","5.5-7.0","Currently no data available.",0,"A citrus fruit ideal for adding flavour to drinks.  It is a hybrid fruit consisting of several species: Persian Lime, Desert Lime, Kaffier Lime and Key Lime (C. aurantifolia).","Currently no data available.","Medium","Ensure that it is planted in well draining soil, as limes will not tolerate standing water, nor will they tolerate temperatures below 10°C.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 132_1.jpg not yet available","image 132_1.jpg not yet available"
133,"Rubus loganobaccus","Loganberry","Miscellaneous","Full sun/partial shade","Hardy","Medium","5.5-7.0","Currently no data available.",0,"A cross between a raspberry and a blackberry, producing a larger and darker fruit than the raspberry.  A very sweet fruit which is ideal for eating raw , using in baking and preserving.","Currently no data available.","Medium","A vigorous plant that requires maintenance.  The fruit is produced on last years growth. Only prune back the canes once fruiting is finished, then tie back the new canes for next years fruit.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 133_1.jpg not yet available","image 133_1.jpg not yet available"
134,"Prunus persica var. nucipersica","Nectarine","Miscellaneous","Full sun","Hardy","Medium","5.5-7.0","Currently no data available.",0,"A smoothed skinned subspecies of the peach. The nectarine has soft sweet flesh that easily bruises. Eaten fresh, cooked or preserved.","Currently no data available.","Medium","Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C.  They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 134_1.jpg not yet available","image 134_1.jpg not yet available"
135,"Citrus reticulata","Orange","Miscellaneous","Full sun","Tender","Medium","5.5-7.0","Currently no data available.",0,"A sweet citrus fruit grown for eating fresh, processing, and it's fragrant peel.  A hybrid between a pomelo and a mandarin, it the most widely grown fruit tree in the world.","Currently no data available.","Medium","All citrus trees require a mild climate and plenty of sun.  At temperatures of under 13 degrees celcius they will go into dormancy.  They can take a few years to bear fruit, and during this time will require regular fertiliser to encourage growth.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 135_1.jpg not yet available","image 135_1.jpg not yet available"
136,"Prunus persica","Peach","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"A native tree of China, grown for its soft fleshed fruit which contains a singe hard stone in the centre and thin fuzzy skin.","Currently no data available.","Medium","Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C.  They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 136_1.jpg not yet available","image 136_1.jpg not yet available"
137,"Pyrus communis","Pear","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"A deciduous tree grown for it's soft sweet fruit.  The fruit are tear drop in shape, and usually have yellow to green skin and white flesh.","Currently no data available.","Medium","Prefer a cold wet climate with a chill period of between 400 and 800 hours at less that 7 °C , and temperatures rarely going above 32°C. New varieties can withstand hotter climates, so choosing your variety for your climate in important.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","137_1.jpg","137_2.jpg"
138,"Diospyros chinensis","Persimmon","Miscellaneous","Full sun","Hardy","Low","5.5-6.5","Currently no data available.",0,"Also know as the Sharon fruit. These  glossy yellow to orange fruits look like tomatoes and grow on trees that can reach 18 meters high.","Currently no data available.","Medium","An easy to grow tree that, depending on variety, can be grown where temperatures drop to -12°C in winter.  American varieties are best for colder climates, where as the Japanese varieties are better suited to milder climates.","Perennial","Currently no data available..","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 138_1.jpg not yet available","image 138_1.jpg not yet available"
140,"Punica granatum","Pomagranate","Miscellaneous","Full sun","Hardy","Medium","5.0-6.0","Currently no data available.",0,"A deciduous fruit producing shrub or tree. Fruits have a tough skin filled with many jewel like seeds covered in red gelatinous flesh.","Currently no data available.","Medium","Can tolerate temperatures down to -12°C, but require lots of heat to ripen the fruit.  They can take up to 5 years to produce fruit.","Perennial","Currently no data available..","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 140_1.jpg not yet available","image 140_1.jpg not yet available"
141,"Rubus idaeus","Raspberry","Miscellaneous","Full sun","Hardy","Low","5.5-6.5","Currently no data available.",0,"A small soft red fruit containing many seed containing drouplets.  Native to many parts of Europe, it is  a high value fresh fruit.  Other uses include processing for juice, jams and confectionary.","Currently no data available.","Medium","Most varieties are biennial (fruiting on last years canes).  In Autumn the old dead canes are removed, excessive new canes are also removed leaving sufficient canes for next years crop.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","141_1.jpg","141_2.jpg"
142,"Ribes rubrum","Redcurrant","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"Small shiny berries produced on low bushes.  They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies.","Currently no data available.","Medium","Are strong growing plants that will tolerate most conditions, including poor soil and shade.  They do however like plenty moisture.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","142_1.jpg","142_2.jpg"
143,"Juglans","Walnut","Miscellaneous","Full sun/partial shade","Hardy","Medium","5.5-7.5","Currently no data available.",0,"The wrinkled edible seed of a deciduous tree.  They can be eaten once fully ripe, or pickled when picked green.","Currently no data available.","Medium","Trees can be damaged by by spring frosts and wind.  Older varieties will take as much as 10 years to produce nuts, but modern varieties can bear nuts in as little as 4 years.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 143_1.jpg not yet available","image 143_1.jpg not yet available"
144,"Ribes rubrum","White currant","Miscellaneous","Full sun","Hardy","Medium","6.0-7.0","Currently no data available.",0,"Small shiny berries produced on low bushes.  They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies..","Currently no data available.","Medium","Are strong growing plants that will tolerate most conditions, including poor soil and shade.  They do however like plenty of moisture.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","144_1.jpg","144_2.jpg"
145,"Castanea sativa","Chestnut","Miscellaneous","Full sun","Hardy","Medium","5.5-6.0","Currently no data available.",0,"Some species of chestnut trees can grow to over 60m high, whereas others are more shrubby in nature.  The fruit, contained in a spiny capule, has 2 skins. The first is hard and shiny, the second a thinner skin attached to the seed.","Will not produce fruit if not grown in full sun.","Medium","Trees can take upto 20 years before producing fruit.   Grafted trees will start fruiting sooner.  They require deep, well drained, fertile soil.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 145_1.jpg not yet available","image 145_1.jpg not yet available"
146,"Lonicera caerulea","Honey Berry","Miscellaneous","Partial shade","Very hardy","Medium","5.0-7.0","Currently no data available.",0,"A fruit bearing member of the honeysuckle family and related to the blueberry. The fruits are used in the same way as most soft fruits.  The sweet juicy fruits taste similar to rapberries and blueberries when eaten fresh.","Currently no data available.","Medium","These plants are frost hardy and grow in a range of soil.  They are best grouwn in groups to aid polination rate and resulting fruits.","Perennial","Currently no data available.","Currently no data available.","Currently no data available.","Not applicable.","Not applicable.","Currently no data available.","Not applicable.","image 146_1.jpg not yet available","image 146_1.jpg not yet available"
